"uid_ini","uid_rec","AI","year"
"R176_L222","R718",0.2,2018
"R176_L222","R777_R889",0.111111111111111,2018
"R247_R539_L433","R297",0.166666666666667,2018
"R247_R539_L433","R627",0.0476190476190476,2018
"R291","R523",0.0909090909090909,2018
"R291","R739",0.0714285714285714,2018
"R291","R741_R1232",0.037037037037037,2018
"R296","R523",0.0588235294117647,2018
"R296","R572",0.0588235294117647,2018
"R296","R591",0.0384615384615385,2018
"R296","R716",0.04,2018
"R296","R753",0.0416666666666667,2018
"R297","R150_R751_L230",0.111111111111111,2018
"R297","R713",0.0416666666666667,2018
"R305","R713",0.0434782608695652,2018
"R305","R777_R889",0.166666666666667,2018
"R316","R150_R751_L230",0.166666666666667,2018
"R316","R247_R539_L433",0.0909090909090909,2018
"R316","R471",0.0769230769230769,2018
"R316","R587",0.0454545454545455,2018
"R316","R714",0.0357142857142857,2018
"R316","R719",0.0909090909090909,2018
"R364","R601",0.25,2018
"R368","R423",0.111111111111111,2018
"R368","R790",0.166666666666667,2018
"R368","R799",0.142857142857143,2018
"R377","R591",0.04,2018
"R404","R305",0.25,2018
"R404","R726",0.1,2018
"R423","R520_L575",0.0833333333333333,2018
"R423","R778",0.0555555555555556,2018
"R423","R781",0.142857142857143,2018
"R423","R784",0.125,2018
"R436","R601",0.25,2018
"R462_R577","R730",0.05,2018
"R466","R479",0.0526315789473684,2018
"R466","R627",0.0476190476190476,2018
"R466","R752",0.0714285714285714,2018
"R466","R767",0.125,2018
"R466","R778",0.0625,2018
"R471","R437",0.166666666666667,2018
"R471","R523",0.142857142857143,2018
"R476_R580","R726",0.1,2018
"R479","R713",0.04,2018
"R479","R727",0.0555555555555556,2018
"R479","R728",0.0714285714285714,2018
"R479","R750",0.0416666666666667,2018
"R479","R752",0.0454545454545455,2018
"R479","R756",0.0476190476190476,2018
"R489","R423",0.125,2018
"R489","R518_L560",0.166666666666667,2018
"R489","R520_L575",0.0909090909090909,2018
"R499","R756",0.2,2018
"R518_L560","R368",0.142857142857143,2018
"R518_L560","R737",0.04,2018
"R520_L575","R611",0.0476190476190476,2018
"R520_L575","R717",0.0454545454545455,2018
"R520_L575","R729",0.0416666666666667,2018
"R561","R296",0.0526315789473684,2018
"R561","R437",0.2,2018
"R570","R738",0.05,2018
"R584","R291",0.05,2018
"R584","R611",0.0909090909090909,2018
"R584","R713",0.0416666666666667,2018
"R584","R714",0.148148148148148,2018
"R584","R719",0.0714285714285714,2018
"R587","R296",0.0416666666666667,2018
"R587","R745",0.05,2018
"R587","R747",0.0476190476190476,2018
"R591","R291",0.037037037037037,2018
"R591","R561",0.12,2018
"R591","R584",0.0384615384615385,2018
"R591","R587",0.037037037037037,2018
"R591","R728",0.0689655172413793,2018
"R591","R737",0.0384615384615385,2018
"R593","R176_L222",0.166666666666667,2018
"R593","R476_R580",0.25,2018
"R593","R684",0.333333333333333,2018
"R599","R730",0.0476190476190476,2018
"R605","R728",0.0384615384615385,2018
"R605","R777_R889",0.125,2018
"R611","R591",0.0357142857142857,2018
"R611","R648",0.157894736842105,2018
"R611","R752",0.0454545454545455,2018
"R623","R584",0.0714285714285714,2018
"R623","R591",0.04,2018
"R623","R607",0.333333333333333,2018
"R627","R150_R751_L230",0.0476190476190476,2018
"R627","R291",0.0416666666666667,2018
"R627","R297",0.0454545454545455,2018
"R627","R316",0.0434782608695652,2018
"R627","R471",0.0476190476190476,2018
"R627","R584",0.0434782608695652,2018
"R627","R599",0.05,2018
"R627","R605",0.1,2018
"R627","R732",0.0416666666666667,2018
"R627","R769",0.05,2018
"R646","R741_R1232",0.04,2018
"R646","R747",0.0666666666666667,2018
"R648","R713",0.0454545454545455,2018
"R648","R752",0.0769230769230769,2018
"R685_R836","R486_R650",1,2018
"R688","R479",0.0555555555555556,2018
"R688","R767",0.2,2018
"R693","R599",0.166666666666667,2018
"R693","R601",0.2,2018
"R713","R581",0.0454545454545455,2018
"R713","R591",0.0740740740740741,2018
"R713","R611",0.148148148148148,2018
"R714","R291",0.037037037037037,2018
"R714","R479",0.0740740740740741,2018
"R714","R591",0.0357142857142857,2018
"R714","R611",0.346153846153846,2018
"R714","R713",0.185185185185185,2018
"R714","R752",0.115384615384615,2018
"R716","R291",0.0434782608695652,2018
"R716","R377",0.0454545454545455,2018
"R716","R520_L575",0.0454545454545455,2018
"R716","R587",0.0869565217391304,2018
"R716","R591",0.222222222222222,2018
"R716","R646",0.0454545454545455,2018
"R716","R738",0.0384615384615385,2018
"R717","R296",0.0384615384615385,2018
"R717","R587",0.0833333333333333,2018
"R717","R591",0.37037037037037,2018
"R717","R646",0.0434782608695652,2018
"R717","R716",0.375,2018
"R724","R075_L114_L277",0.166666666666667,2018
"R724","R150_R751_L230",0.111111111111111,2018
"R724","R316",0.166666666666667,2018
"R724","R599",0.25,2018
"R724","R627",0.05,2018
"R724","R759",0.142857142857143,2018
"R726","R150_R751_L230",0.0833333333333333,2018
"R726","R316",0.166666666666667,2018
"R726","R437",0.1,2018
"R726","R471",0.0833333333333333,2018
"R726","R523",0.0909090909090909,2018
"R726","R724",0.0909090909090909,2018
"R727","R587",0.0555555555555556,2018
"R728","R291",0.037037037037037,2018
"R728","R423",0.0384615384615385,2018
"R728","R462_R577",0.0384615384615385,2018
"R728","R581",0.0384615384615385,2018
"R728","R584",0.0769230769230769,2018
"R728","R611",0.5,2018
"R728","R648",0.0384615384615385,2018
"R728","R713",0.178571428571429,2018
"R728","R714",0.357142857142857,2018
"R729","R587",0.08,2018
"R729","R591",0.444444444444444,2018
"R729","R716",0.291666666666667,2018
"R729","R717",0.36,2018
"R729","R739",0.0416666666666667,2018
"R730","R176_L222",0.142857142857143,2018
"R730","R247_R539_L433",0.0454545454545455,2018
"R730","R305",0.05,2018
"R730","R587",0.0384615384615385,2018
"R730","R623",0.05,2018
"R730","R627",0.166666666666667,2018
"R730","R724",0.0454545454545455,2018
"R730","R759",0.0476190476190476,2018
"R730","R777_R889",0.0476190476190476,2018
"R732","R296",0.0833333333333333,2018
