"year","sample.id","sample.date","sample.group","sample.mass","site","sex","age.class","min.age","uid","degree","betweenness","eigen","strength","stan.strength","range.area","range.area.sqrt","social.group"
NA,"DNA2W2C",NA,"control","n/a",NA,NA,NA,NA,"n/a",NA,NA,NA,NA,NA,NA,NA,NA
NA,"DNA2W2D",NA,"control","n/a",NA,NA,NA,NA,"n/a",NA,NA,NA,NA,NA,NA,NA,NA
NA,"DNA2W2E",NA,"control","n/a",NA,NA,NA,NA,"n/a",NA,NA,NA,NA,NA,NA,NA,NA
NA,"DNA2W2F",NA,"control","n/a",NA,NA,NA,NA,"n/a",NA,NA,NA,NA,NA,NA,NA,NA
2018,"S00K90001","5-Jun-18","sample","0.2449","primary","M","adult",2,"R581",NA,NA,NA,NA,NA,NA,NA,NA
2018,"S00K90002","5-Jun-18","sample","0.2573","primary","M","juvenile",0,"R748",11,13,0.293926883032372,0.760081932844081,0.00854024643645035,434.5,20.8446635856758,"18B"
2018,"S00K90003","5-Jun-18","sample","0.2496","primary","F","juvenile",0,"R727",4,0,0.0134600796771794,0.361111111111111,0.00405742821473159,4236.08056640625,65.0851793145433,"18E"
2018,"S00K90004","5-Jun-18","sample","0.2525","primary","F","adult",1,"R599",NA,NA,NA,NA,NA,NA,NA,NA
2018,"S00K90005","5-Jun-18","sample","0.2484","primary","F","adult",5,"R176_L222",4,78,0.00304355395160231,0.620634920634921,0.00697342607454968,3379.5,58.1334671252283,"18C"
2018,"S00K90006","5-Jun-18","sample","0.2563","primary","F","adult",3,"R297",4,0,0.00458159951124707,0.36489898989899,0.00409998865055045,1692,41.1339276024063,"18A"
2018,"S00K90007","6-Jun-18","sample","0.2542","primary","F","juvenile",0,"R713",17,101,0.156627355538734,1.58436385675516,0.0178018410871366,204.5,14.3003496460751,"18D"
2018,"S00K90008","6-Jun-18","sample","0.2492","primary","F","adult",1,"R611",14,116,0.220834600887609,2.30727165621902,0.0259244006316744,84,9.16515138991168,"18D"
2018,"S00K90009","6-Jun-18","sample","0.2473","primary","F","adult",2,"R450",NA,NA,NA,NA,NA,NA,NA,NA
2018,"S00K90010","6-Jun-18","sample","0.2545","primary","F","adult",3,"R296",18,516,0.283227615499693,1.4094873208334,0.0158369361891393,311.0478515625,17.6365487429514,"18B"
2018,"S00K90011","6-Jun-18","sample","0.2527","primary","F","juvenile",0,"R747",13,12,0.515070083012484,1.38071399189046,0.0155136403583198,572.5,23.9269722280108,"18B"
2018,"S00K90012","6-Jun-18","sample","0.2527","primary","F","adult",1,"R623",4,0,0.0260798203090063,0.494761904761904,0.00555912252541466,937.5,30.6186217847897,"18E"
2018,"S00K90013","6-Jun-18","sample","0.2552","primary","F","adult",1,"R648",NA,NA,NA,NA,NA,NA,NA,NA
2018,"S00K90014","6-Jun-18","sample","0.2527","primary","F","adult",1,"R607",2,0,0.00707281774403195,0.424242424242424,0.00476676881171263,1709,41.3400532171888,"18E"
2018,"S00K90015","6-Jun-18","sample","0.2516","primary","F","adult",1,"R587",15,499,0.304506318052472,1.00076956055217,0.011244601803957,684.214111328125,26.1574867165813,"18B"
2018,"S00K90016","20-Jun-18","sample","0.2524","primary","F","juvenile",0,"R734",14,34,0.168449430586855,1.45508665247796,0.0163492882300894,84,9.16515138991168,"18D"
2018,"S00K90017","20-Jun-18","sample","0.2512","primary","M","adult",1,"R593",NA,NA,NA,NA,NA,NA,NA,NA
2018,"S00K90018","20-Jun-18","sample","0.2523","primary","F","juvenile",0,"R737",16,211,0.20185442492518,2.11340181557573,0.0237460878154576,84,9.16515138991168,"18D"
2018,"S00K90019","20-Jun-18","sample","0.2516","primary","F","adult",1,"R601",NA,NA,NA,NA,NA,NA,NA,NA
2018,"S00K90020","20-Jun-18","sample","0.2525","primary","F","juvenile",0,"R728",18,377,0.223649596458386,2.20622640450227,0.0247890607247446,204.5,14.3003496460751,"18D"
2018,"S00K90021","20-Jun-18","sample","0.2553","primary","F","adult",2,"R489",NA,NA,NA,NA,NA,NA,NA,NA
2018,"S00K90022","20-Jun-18","sample","0.2534","primary","F","adult",3,"R316",9,64,0.0141570818064519,0.83595752074013,0.00939278113191158,3837.5,61.9475584668193,"18A"
2018,"S00K90023","20-Jun-18","sample","0.2557","primary","F","adult",2,"R518_L560",NA,NA,NA,NA,NA,NA,NA,NA
2018,"S00K90024","20-Jun-18","sample","0.2531","primary","F","adult",2,"R520_L575",10,260,0.105473846835853,0.671990917579153,0.00755045974808037,2555,50.5470078244004,"18F"
2018,"S00K90025","20-Jun-18","sample","0.2544","primary","M","juvenile",0,"R716",16,68,0.822231124078311,2.20483207613642,0.0247733941138924,572.5,23.9269722280108,"18B"
2018,"S00K90026","20-Jun-18","sample","0.2573","primary","F","adult",1,"R627_R1334",17,712.5,0.0285920835545366,1.17683041596085,0.0132228136624815,1729.5,41.5872576638566,"18A"
2018,"S00K90027","20-Jun-18","sample","0.2481","primary","F","juvenile",0,"R717",14,63,0.929814423098927,2.42991430469691,0.0273024079179428,1180.5,34.358405085219,"18B"
2018,"S00K90028","20-Jun-18","sample","0.2542","primary","F","adult",3,"R291",14,480,0.0821719153535734,0.750392642783947,0.00843137800880839,2122.5,46.0705979991578,"18C"
2018,"S00K90029","20-Jun-18","sample","0.1593","primary","F","juvenile",0,"R741_R1232",16,131,0.810181415641028,2.31897435897436,0.0260558916738692,1045.5,32.3341924284495,"18B"
2018,"S00K90030","20-Jun-18","sample","0.2567","primary","M","adult",1,"R646",5,6,0.0815328563223837,0.241054018445323,0.00270847211736318,657.5,25.6417628099162,"18B"
2018,"S00K90031","20-Jun-18","sample","0.2507","primary","M","adult",1,"R605",3,0,0.00733632106413955,0.263461538461539,0.00296024200518583,790.5,28.1158318390191,"18C"
2018,"S00K90032","20-Jun-18","sample","0.2522","primary","M","juvenile",0,"R738",14,293,0.213745864202765,0.932713582713583,0.0104799278956582,685.013427734375,26.1727611790268,"18B"
2018,"S00K90033","20-Jun-18","sample","0.2548","primary","M","juvenile",0,"R742",NA,NA,NA,NA,NA,NA,NA,NA
