"Var1","Var2","value","year"
"R150_R751_L230","R150_R751_L230",1,"2018"
"R176_L222","R150_R751_L230",0.693623380936566,"2018"
"R247_R539_L433","R150_R751_L230",0.781698710148455,"2018"
"R291","R150_R751_L230",0.750727117194183,"2018"
"R296","R150_R751_L230",0.0892561983471074,"2018"
"R297","R150_R751_L230",0.837014411027569,"2018"
"R305","R150_R751_L230",0.824735338598555,"2018"
"R316","R150_R751_L230",0.82917663136317,"2018"
"R404","R150_R751_L230",1,"2018"
"R437","R150_R751_L230",0.747154046997389,"2018"
"R462_R577","R150_R751_L230",0.599700149925038,"2018"
"R476_R580","R150_R751_L230",0.650853469297273,"2018"
"R520_L575","R150_R751_L230",0.215607803901951,"2018"
"R523","R150_R751_L230",1,"2018"
"R561","R150_R751_L230",0.589887640449438,"2018"
"R584","R150_R751_L230",0.822237242311592,"2018"
"R587","R150_R751_L230",0.379632961496941,"2018"
"R591","R150_R751_L230",0.432606199770379,"2018"
"R605","R150_R751_L230",0.979907683953299,"2018"
"R607","R150_R751_L230",0.895654542977796,"2018"
"R611","R150_R751_L230",0.784452296819788,"2018"
"R623","R150_R751_L230",0.855930405262041,"2018"
"R627_R1334","R150_R751_L230",0.979063072494112,"2018"
"R646","R150_R751_L230",0.623370110330993,"2018"
"R685_R836","R150_R751_L230",0.81539527231795,"2018"
"R693","R150_R751_L230",0.985475985044579,"2018"
"R713","R150_R751_L230",0.767096134786918,"2018"
"R714","R150_R751_L230",0.769596199524941,"2018"
"R716","R150_R751_L230",0.27479674796748,"2018"
"R717","R150_R751_L230",0.159711075441413,"2018"
"R724","R150_R751_L230",1,"2018"
"R726","R150_R751_L230",1,"2018"
"R727","R150_R751_L230",0.432378079436903,"2018"
"R728","R150_R751_L230",0.785318559556787,"2018"
"R729","R150_R751_L230",0.279268292682927,"2018"
"R730","R150_R751_L230",0.91655744866754,"2018"
"R732","R150_R751_L230",0.35953840605842,"2018"
"R734","R150_R751_L230",0.776556776556777,"2018"
"R737","R150_R751_L230",0.750483558994197,"2018"
"R738","R150_R751_L230",0.0209689081706435,"2018"
"R739","R150_R751_L230",0.66824576514499,"2018"
